2023-05-27 22:25:39 - INFO - 
  训练参数：
     训练模式：True
     训练轮次：4000
     执行动作：1
     exploration_max: 1.0
     exploration_min: 0.02
     exploration_decay: 0.999999
     lr: 0.00025
     batch size: 32
     max_memory_size: 100000
     gamma: 0.9
     copy_step: 5000
     save_path: ./runs/exp11
     test_model_dir: runs/exp3
     desc: 
     render_mode: 3

2023-05-27 23:44:00 - INFO - Episode 162, total score=601, average score=578.43, exploration_rate=0.9497, 每步耗时：0.0001, 训练耗时：0.0835
2023-05-27 23:44:06 - INFO - Episode 163, total score=212, average score=576.18, exploration_rate=0.9497, 每步耗时：0.0001, 训练耗时：0.0831
2023-05-27 23:44:23 - INFO - Episode 164, total score=602, average score=576.34, exploration_rate=0.9495, 每步耗时：0.0001, 训练耗时：0.0828
2023-05-27 23:44:27 - INFO - Episode 165, total score=236, average score=574.28, exploration_rate=0.9495, 每步耗时：0.0001, 训练耗时：0.0833
2023-05-27 23:45:04 - INFO - Episode 166, total score=763, average score=575.42, exploration_rate=0.9491, 每步耗时：0.0001, 训练耗时：0.0826
2023-05-27 23:45:40 - INFO - Episode 167, total score=665, average score=575.95, exploration_rate=0.9487, 每步耗时：0.0001, 训练耗时：0.0834
2023-05-27 23:46:01 - INFO - Episode 168, total score=798, average score=577.27, exploration_rate=0.9485, 每步耗时：0.0001, 训练耗时：0.0833
2023-05-27 23:46:45 - INFO - Episode 169, total score=984, average score=579.68, exploration_rate=0.9481, 每步耗时：0.0001, 训练耗时：0.0835
2023-05-27 23:47:02 - INFO - Episode 170, total score=625, average score=579.95, exploration_rate=0.9479, 每步耗时：0.0001, 训练耗时：0.0833
2023-05-27 23:49:16 - INFO - Episode 171, total score=460, average score=579.25, exploration_rate=0.9466, 每步耗时：0.0001, 训练耗时：0.0844
2023-05-27 23:51:15 - INFO - Episode 172, total score=518, average score=578.89, exploration_rate=0.9454, 每步耗时：0.0001, 训练耗时：0.0848
2023-05-27 23:51:58 - INFO - Episode 173, total score=708, average score=579.64, exploration_rate=0.9450, 每步耗时：0.0001, 训练耗时：0.0854
